Text,Likes,Source,,,
سالم الشائبي:'سليم الرياحي سيجعل من تونس سنغافورة إفريقيا,410,Shems Fm,,,
"حوار ""شمس ماغ"" مع لطفي المرايحي المترشح للإنتخابات الرئاسية السابقة لأوانها",470,Shems Fm,,,
حمة الهمامي:'برنامجنا عنوانه الدفاع عن السيادة الوطنية,196,Shems Fm,,,
سلمى اللومي:'التنمية لا يمكن أن تكون إلا بدولة قوية,105,Shems Fm,,,
عبد الفتاح مورو:'سألتزم بإحترام زملائي في حملة إنتخابية تقوم على أساس تقديم البرامج,248,Shems Fm,,,
عبيد البريكي:'لا يمكن أن يكافح الإرهاب إلا متخصص على رأس وزارة الدفاع,54,Shems Fm,,,
منجي الرحوي: 'أتبنى مشروع قانون المساواة في الميراث,195,Shems Fm,,,
عبد الفتاح مورو: 'سأعمل على تحقيق الأمن الغذائي والمائي للبلاد,200,Shems Fm,,,
قيس سعيد: 'سأطلب من رؤساء الدول احترام التونسيين وعدم إهانتهم بسبب الفيز,3352,Shems Fm,,,
منجي الرحوي: 'مناطق الشمال الغربي في حاجة إلى برامج تنمية حقيقية,95,Shems Fm,,,
حمادي الجبالي:'القيروان القلب النابض لتونس ونريد إعادتها كما كانت,544,Shems Fm,,,
محمد الصغير النوري:'برنامجي يقوم على 4 محاور وسأركز على الأمن والإقتصاد,22,Shems Fm,,,
عبير موسي: 'سأغير الدستور وسأعمل على إرساء نظام سياسي جديد,1616,Shems Fm,,,
حمة الهمامي يتعهد بإلغاء اتفاقية الشراكة مع الإتحاد الأوروبي,280,Shems Fm,,,
عبد الكريم الزبيدي المترشح للإنتخابات الرئاسية السابقة لأوانها,127,Shems Fm,,,
قيس سعيد:'الأمن القومي لا يمكن أن يفهم بمعناه التقليدي,940,Shems Fm,,,
عبــد الكريم الزبيدي :قررت الترشح للرئاسية كجـندي متطوع لتونس,486,Shems Fm,,,
"حوار ""شمس ماغ"" مع عبد الكريم الزبيدي المترشح للإنتخابات الرئاسية السابقة لأوانها",559,Shems Fm,,,
لصافي سعيد: 'سنطالب بسيادتنا الكاملة والشاملة,418,Shems Fm,,,
عبير موسي: 'عازمون على استئناف تنفيذ المشاريع الكبرى,1027,Shems Fm,,,
يوسف الشاهد:' العلاقة مع الشقيقة ليبيا ستكون من أولوياتي الأولى,352,Shems Fm,,,
حظوظ نبيل القروي وافرة وسنواصل الحملة كما لو كان موجودا,528,Shems Fm,,,
حوار هنا شمس مع مهدي جمعة المترشح للإنتخابات الرئاسية السابقة لأوانها,236,Shems Fm,,,
حمة الهمامي: 'سأدافع بقوة عن المناطق الداخلية,370,Shems Fm,,,
منجي الرحوي رئيس لجنة المالية في البرلمان والقيادي في حزب الوطنيين الديمقراطيين,153,Shems Fm,,,
المرشح للانتخابات الرئاسية حمادي الجبالي ضيف هنا شمس,175,Shems Fm,,,
مهدي جمعة المترشح للإنتخابات الرئاسية السابقة لأوانها,17,Shems Fm,,,
مهدي جمعة: سنعمل على مراجعة عقود النفط وكراس الشروط والقوانين المتعلقة بها,592,Shems Fm,,,
